estaca;area;esfuerzo;size;distancia;mata;cueva;ano;mes ;dia;semana;cant_obs
30;34,9898;1;13;15;11;2;2015;;;;
30;34,9898;1;18;16;15;3;2015;;;;
30;34,9898;1;21;17;20;1;2015;;;;
30;34,9898;1;30;18;26;4;2015;;;;
30;34,9898;1;20;19;19;1;2015;;;;
30;34,9898;1;33;20;29;4;2015;;;;
31;34,9898;1;3;3;3;0;2015;;;;
31;34,9898;1;1;4;0;1;2015;;;;
31;34,9898;1;8;5;7;1;2015;;;;
31;34,9898;1;16;6;15;1;2015;;;;
31;34,9898;1;17;7;15;2;2015;;;;
31;34,9898;1;15;8;14;1;2015;;;;
31;34,9898;1;11;9;9;2;2015;;;;
31;34,9898;1;13;10;12;1;2015;;;;
31;34,9898;1;15;11;12;3;2015;;;;
31;34,9898;1;10;12;9;1;2015;;;;
31;34,9898;1;19;13;16;3;2015;;;;
31;34,9898;1;23;14;22;1;2015;;;;
31;34,9898;1;29;15;25;4;2015;;;;
31;34,9898;1;17;16;17;0;2015;;;;
31;34,9898;1;14;17;10;4;2015;;;;
31;34,9898;1;15;18;13;2;2015;;;;
31;34,9898;1;15;19;12;3;2015;;;;
31;34,9898;1;18;20;14;4;2015;;;;
32;34,9898;1;6;8;6;0;2015;;;;
32;34,9898;1;12;9;12;0;2015;;;;
32;34,9898;1;6;10;6;0;2015;;;;
32;34,9898;1;5;11;5;0;2015;;;;
32;34,9898;1;4;12;3;1;2015;;;;
32;34,9898;1;7;13;7;0;2015;;;;
32;34,9898;1;10;14;9;1;2015;;;;
32;34,9898;1;10;15;7;3;2015;;;;
32;34,9898;1;14;16;11;3;2015;;;;
32;34,9898;1;1;17;0;1;2015;;;;
32;34,9898;1;14;18;11;3;2015;;;;
32;34,9898;1;10;19;7;3;2015;;;;
32;34,9898;1;14;20;9;5;2015;;;;
33;34,9898;1;1;1;1;0;2015;;;;
33;34,9898;1;2;2;2;0;2015;;;;
33;34,9898;1;3;6;3;0;2015;;;;
33;34,9898;1;2;7;2;0;2015;;;;
33;34,9898;1;4;8;4;0;2015;;;;
33;34,9898;1;7;9;7;0;2015;;;;
33;34,9898;1;2;10;2;0;2015;;;;
33;34,9898;1;4;11;4;0;2015;;;;
33;34,9898;1;3;12;3;0;2015;;;;
33;34,9898;1;6;13;6;0;2015;;;;
33;34,9898;1;1;14;1;0;2015;;;;
33;34,9898;1;1;15;1;0;2015;;;;
33;34,9898;1;1;17;1;0;2015;;;;
34;34,9898;1;1;3;0;1;2015;;;;
34;34,9898;1;3;4;2;1;2015;;;;
34;34,9898;1;5;5;2;3;2015;;;;
34;34,9898;1;2;6;1;1;2015;;;;
34;34,9898;1;10;7;5;5;2015;;;;
34;34,9898;1;16;8;6;10;2015;;;;
